series examined          : 1450
events examined          : 3200
priced                   : 236
  not a partition        : 2934
  buckets do not tile    : 14
  legs fetched too far apart : 3
  book missing on a leg  : 13
  series that errored    : 0

verified partitions found : 252
across distinct series    : 187

  series                              events   legs  example
  KXPRESTAIWAN-28                   3 $  0.8500 $  0.6580 $ 0.1920     16.00
  KXMONGOLIAPRES-27                 5 $  0.8570 $  0.6490 $ 0.2080      3.00
  KXSENATENYD-28                    3 $  0.8800 $  0.6000 $ 0.2800    222.00
  KXNEXTDEPUTYAG-28JAN01            6 $  0.9000 $  0.5400 $ 0.3600    200.00
  KXFEDDECISION-27JAN               5 $  0.9000 $  0.8300 $ 0.0700    504.00
  KXMOLDOVAPRES-28                  7 $  0.9500 $  0.6680 $ 0.2820      2.00
  KXNEXTSTATE-29                    5 $  0.9700 $  0.6740 $ 0.2960     16.00
  KXFEDDECISION-27MAR               5 $  0.9700 $  0.8800 $ 0.0900    294.00
  KXPRESTURKEYR1-28                 3 $  0.9800 $  0.7720 $ 0.2080      9.00
  KXLONDONMAYOR-28MAY01             8 $  0.9870 $  0.4980 $ 0.4890     60.00
  KXRTICKET-28NOV07                25 $  0.9900 $  0.4560 $ 0.5340      5.98
  KXDTICKET-28NOV07                25 $  0.9900 $  0.2300 $ 0.7600     60.00
  KXNHSENGOVCOMBO-26NOV             4 $  1.0100 $  0.8700 $ 0.1400     10.00
  KXPRESNOMR-28                    38 $  1.0160 $  0.9160 $ 0.1000    216.95
  KXBALANCEPOWERCOMBO-27FEB         4 $  1.0240 $  0.9920 $ 0.0320  17682.56
  KXPHILIPPINESPRES-28              5 $  1.0260 $  0.6760 $ 0.3500      5.71
  KXTAKEOVERACQWB-27JUN30           3 $  1.0300 $  1.0000 $ 0.0300    247.91
  KXNCAAFCONF-26                    5 $  1.0300 $  0.9500 $ 0.0800     49.32
  KXRELOCATIONCHI-28                4 $  1.0400 $  0.9700 $ 0.0700    111.23
  KXWINNIPEGMAYOR-26OCT28           3 $  1.0400 $  0.7600 $ 0.2800     10.00
  KXPRESPERSON-28                  30 $  1.0410 $  0.9330 $ 0.1080      0.55
  KXFEDDECISION-28JAN               5 $  1.0500 $  0.8400 $ 0.2100     20.00
  KXPRESNOMD-28                    47 $  1.0510 $  0.9470 $ 0.1040      4.72
  KXDSENATESEATSH-27                7 $  1.0560 $  0.9350 $ 0.1210      0.56
  KXDOMINICANREPUBLICDEPUTIES-28    3 $  1.0580 $  0.8800 $ 0.1780      1.00
  KXGREECEPARLI-27                  3 $  1.0580 $  0.8670 $ 0.1910    500.00
  KXINDIANPM-29APR30                9 $  1.0600 $  0.8200 $ 0.2400      6.69
  KXPRESNOML-28                    11 $  1.0660 $  0.5610 $ 0.5050      9.00
  KXFIJIPM-27FEB06                  5 $  1.0700 $  1.0000 $ 0.0700      2.00
  KXUSTESTSMATH-26                  3 $  1.0700 $  0.9220 $ 0.1480      5.00
  KXPGARYDER-RC27                   3 $  1.0700 $  0.9800 $ 0.0900    113.14
  KXHANNOVERMAYOR-26SEP13           5 $  1.0700 $  0.8500 $ 0.2200      1.00
  KXGHANAPRES-28                    6 $  1.0720 $  0.6920 $ 0.3800     24.77
  POWER-28                          8 $  1.0740 $  0.9730 $ 0.1010    177.58
  KXHOWMANYSPEAKERHOUSE-27JAN       3 $  1.0740 $  0.9270 $ 0.1470      5.00
  KXDECLAREPRESFIRSTD-28NOV07      10 $  1.0820 $  0.7020 $ 0.3800      4.28

One moment per event, so this says where to look and never how often.
A cheap row here is a candidate for collection, not for trading: no
relationship is approved, depth is the thinnest leg at one instant,
and taker figures are before the fee that decided the last verdict.
